person_a,person_b,weight
BUSTER,OTHER OFFICIAL,1
FIRST OFFICIAL,LARRY,1
FIRST OFFICIAL,OTHER OFFICIAL,1
FIRST OFFICIAL,PHIL,1
FIRST OFFICIAL,RITA,1
LARRY,OTHER OFFICIAL,1
OTHER OFFICIAL,PHIL,1
OTHER OFFICIAL,RITA,1
A TV SCREEN,D RIVERS' POV,1
A TV SCREEN,REVEAL,1
D RIVERS' POV,REVEAL,1
DORIS,LARRY,1
DORIS,RALPH,1
DORIS,WAITER,1
FRED,LARRY,1
FRED,RALPH,1
FRED,WAITER,1
LARRY,RALPH,1
RALPH,RITA,1
RALPH,WAITER,1
C LOSE UP - THE CLOCK,LATER,1
C LOSE UP - THE CLOCK,PHIL,1
C LOSE UP - THE CLOCK,PIZZA GUY,1
C LOSE UP - THE CLOCK,RITA,1
C LOSE UP - THE CLOCK,THE PIZZA BOX - LATER,1
LATER,PIZZA GUY,1
LATER,THE PIZZA BOX - LATER,1
PHIL,PIZZA GUY,1
PHIL,THE PIZZA BOX - LATER,1
PIZZA GUY,RITA,1
PIZZA GUY,THE PIZZA BOX - LATER,1
RITA,THE PIZZA BOX - LATER,1
MARIE,PHIL,1
BUSINESSMAN,FIRST BUSINESSMAN,1
BUSINESSMAN,JERRY,1
BUSINESSMAN,PHIL,1
BUSINESSMAN,RITA,1
BUSINESSMAN,SECOND BUSINESSMAN,1
FIRST BUSINESSMAN,JERRY,1
FIRST BUSINESSMAN,PHIL,1
FIRST BUSINESSMAN,RITA,1
FIRST BUSINESSMAN,SECOND BUSINESSMAN,1
JERRY,PHIL,1
JERRY,RITA,1
JERRY,SECOND BUSINESSMAN,1
PHIL,SECOND BUSINESSMAN,1
RITA,SECOND BUSINESSMAN,1
ALL THE KIDS,KID,1
ALL THE KIDS,KIDS,1
ALL THE KIDS,PHIL,1
ALL THE KIDS,RITA,1
KID,KIDS,1
KID,PHIL,1
KID,RITA,1
KIDS,PHIL,1
KIDS,RITA,1
ANDY,BUD,1
ANDY,GLOW,1
ANDY,RITA,1
BUD,GLOW,1
BUD,RITA,1
GLOW,RITA,1
CLOSE UP - THE CLOCK,DEEJAY,1
CLOSE UP - THE CLOCK,DORIS,1
CLOSE UP - THE CLOCK,FRED,1
CLOSE UP - THE CLOCK,HIS POV,1
CLOSE UP - THE CLOCK,HIS POV - THE STREET,1
CLOSE UP - THE CLOCK,LATER,1
CLOSE UP - THE CLOCK,LEO,1
CLOSE UP - THE CLOCK,MARY,1
CLOSE UP - THE CLOCK,PHIL,1
CLOSE UP - THE CLOCK,RITA,1
CLOSE UP - THE CLOCK,S IDEKICK,1
DEEJAY,DORIS,1
DEEJAY,FRED,1
DEEJAY,HIS POV - THE STREET,1
DEEJAY,LATER,1
DEEJAY,LEO,1
DEEJAY,MARY,1
DEEJAY,RITA,1
DEEJAY,S IDEKICK,1
DORIS,HIS POV,1
DORIS,HIS POV - THE STREET,1
DORIS,LATER,1
DORIS,LEO,1
DORIS,MARY,1
DORIS,S IDEKICK,1
FRED,HIS POV,1
FRED,HIS POV - THE STREET,1
FRED,LATER,1
FRED,LEO,1
FRED,MARY,1
FRED,S IDEKICK,1
HIS POV,HIS POV - THE STREET,1
HIS POV,LATER,1
HIS POV,LEO,1
HIS POV,MARY,1
HIS POV,RITA,1
HIS POV,S IDEKICK,1
HIS POV - THE STREET,LATER,1
HIS POV - THE STREET,LEO,1
HIS POV - THE STREET,MARY,1
HIS POV - THE STREET,PHIL,1
HIS POV - THE STREET,RITA,1
HIS POV - THE STREET,S IDEKICK,1
LATER,LEO,1
LATER,MARY,1
LATER,S IDEKICK,1
LEO,MARY,1
LEO,PHIL,1
LEO,RITA,1
LEO,S IDEKICK,1
MARY,RITA,1
MARY,S IDEKICK,1
PHIL,S IDEKICK,1
RITA,S IDEKICK,1
A LADY,A MAN,1
A LADY,FLORIST,1
A LADY,LARRY,1
A LADY,NED,1
A LADY,PHIL,1
A MAN,FLORIST,1
A MAN,LARRY,1
A MAN,NED,1
A MAN,PHIL,1
FLORIST,LARRY,1
FLORIST,NED,1
FLORIST,PHIL,1
